Daily Performance: Ad Group Level
"January 1, 2025 - February 9, 2025"
Day,Campaign,Ad group,Impr.,Clicks,CTR,Currency code,Cost,Conversions,Conv. rate,Events / session (GA4)
2025-01-24,TS / Search / San Francisco,Old Keywords,371,16,4.31%,USD,121.06,1.00,6.25%,5.92
2025-01-24,TS / Search / San Francisco,Senior Care Services,73,4,5.48%,USD,40.81,0.00,0.00%,5.00
2025-01-25,TS / Search / San Francisco,Brand,2,1,50.00%,USD,6.91,0.00,0.00%,2.00
2025-01-25,TS / Search / San Francisco,In-Home Care Services,317,10,3.15%,USD,82.51,2.00,20.00%,8.67
2025-01-25,TS / Search / San Francisco,Old Keywords,364,21,5.77%,USD,160.95,2.00,9.52%,6.33
2025-01-25,TS / Search / San Francisco,Senior Care Services,94,2,2.13%,USD,4.64,0.00,0.00%,3.00
2025-01-26,TS / Search / San Francisco,Brand,7,1,14.29%,USD,2.31,0.00,0.00%, --
2025-01-26,TS / Search / San Francisco,In-Home Care Services,353,17,4.82%,USD,68.81,0.00,0.00%,4.75
2025-01-26,TS / Search / San Francisco,Old Keywords,530,25,4.72%,USD,190.57,1.00,4.00%,5.86
2025-01-26,TS / Search / San Francisco,Senior Care Services,61,3,4.92%,USD,20.05,1.00,33.33%,5.50
2025-01-27,TS / Search / San Francisco,Brand,5,1,20.00%,USD,5.71,0.00,0.00%, --
2025-01-27,TS / Search / San Francisco,In-Home Care Services,292,15,5.14%,USD,115.20,0.00,0.00%,5.67
2025-01-27,TS / Search / San Francisco,Old Keywords,483,20,4.14%,USD,158.40,2.00,10.00%,6.52
2025-01-27,TS / Search / San Francisco,Senior Care Services,52,4,7.69%,USD,37.94,1.00,25.00%,9.67
2025-01-28,TS / Search / San Francisco,Brand,3,1,33.33%,USD,0.66,0.00,0.00%,4.00
2025-01-28,TS / Search / San Francisco,In-Home Care Services,411,10,2.43%,USD,99.57,0.00,0.00%,4.20
2025-01-28,TS / Search / San Francisco,Old Keywords,462,21,4.55%,USD,164.02,0.00,0.00%,6.79
2025-01-28,TS / Search / San Francisco,Senior Care Services,88,1,1.14%,USD,9.96,0.00,0.00%,5.00
2025-01-29,TS / Search / San Francisco,Brand,1,0,0.00%,USD,0.00,0.00,0,2.00
2025-01-29,TS / Search / San Francisco,In-Home Care Services,438,19,4.34%,USD,129.62,0.00,0.00%,5.00
2025-01-29,TS / Search / San Francisco,Old Keywords,424,16,3.77%,USD,136.13,1.00,6.25%,5.79
2025-01-29,TS / Search / San Francisco,Senior Care Services,128,3,2.34%,USD,23.34,0.00,0.00%,4.00
2025-01-30,TS / Search / San Francisco,Brand,1,0,0.00%,USD,0.00,0.00,0, --
2025-01-30,TS / Search / San Francisco,In-Home Care Services,242,11,4.55%,USD,84.50,1.00,9.09%,5.23
2025-01-30,TS / Search / San Francisco,Old Keywords,194,10,5.15%,USD,138.74,2.00,20.00%,4.00
