Day,Campaign name,Ad Set Name,Ad name,Amount spent (USD),Impressions,Link clicks,Family Form Submission
2025-01-11,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,65.89,1650,15,
2025-01-11,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,84.56,1855,8,
2025-01-11,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,30.99,514,9,
2025-01-10,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,23.78,1220,1,
2025-01-10,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,64.55,3342,22,
2025-01-10,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,70.53,2628,11,
2025-01-10,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,33.81,2430,10,
2025-01-09,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,16.98,965,2,
2025-01-09,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,45.29,1880,9,
2025-01-09,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,61.88,2170,7,
2025-01-09,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,37.9,2849,7,
2025-01-08,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,40.16,2267,13,
2025-01-08,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,0,0,,
2025-01-08,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,51.08,2028,11,
2025-01-08,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,18.91,1059,4,
2025-01-08,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,32.65,1408,12,
2025-01-07,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewTrust,21.93,1166,2,
2025-01-07,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewCost,24.06,760,8,
2025-01-07,2025_SF_Leads_Families,2025_SF_Leads_Families_IGFeed_OGInterest,2025_SF_Leads_Families_IGFeed_OGInterest_Static_NewCost,27.3,1223,5,
2025-01-07,2025_SF_Leads_Families,2025_SF_Leads_Families_FBFeed_OGInterest,2025_SF_Leads_Families_FBFeed_OGInterest_Static_NewTrust,26.19,931,7,
2025-01-07,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,0,0,,
2025-01-06,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,8.74,708,18,
2025-01-06,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,59.82,2626,66,
2025-01-05,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,44.62,2624,45,
2025-01-05,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,136.34,4951,109,1
2025-01-04,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,35.09,2499,46,
2025-01-04,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,88.61,4576,69,
2025-01-03,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,78.82,4524,82,
2025-01-03,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,57.11,4639,79,
2025-01-02,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,69.45,4697,67,
2025-01-02,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,62.9,5703,76,
2025-01-01,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Expertise: Top Independent Caregivers,74.22,8894,69,
2025-01-01,Families Nov 12 Campaign,Family - Adv Targeting - Pickleball/Traveler,Cost,53.08,3983,69,
