# ----------------------------------------
# kizunacare.com
# UTM Report - Event Metrics-Free form 1
# 20250101-20250113
# ----------------------------------------

,,,,Event name,page_view,session_start,first_visit,user_engagement,scroll,redirect_to_caregiver_form,redirect_to_family_form,caregiver_form_submission,Thank_You_Page,family_form_submission,Totals
Date,Session source / medium,Session campaign,Session manual ad content,Session manual term,Event count,Event count,Event count,Event count,Event count,Event count,Event count,Event count,Event count,Event count,Event count
20250112,medium.com / referral,(referral),(not set),(not set),8,3,0,7,0,0,0,0,0,0,18
20250112,yahoo / organic,(organic),(not set),(not provided),1,1,0,1,0,0,0,0,0,0,3
20250113,(direct) / (none),(direct),(not set),(not set),20,18,16,3,2,0,0,1,0,0,60
20250113,box4179.bluehost.com:2083 / referral,(referral),(not set),(not set),2,1,0,2,0,0,0,0,0,0,5
20250113,business.facebook.com / referral,(referral),(not set),(not set),3,1,0,3,0,0,0,0,0,0,7
20250113,facebook / paid_social,2025_sf_leads_families,newcost,families_oginterest,26,16,15,8,6,3,1,1,0,0,76
20250113,facebook / paid_social,2025_sf_leads_families,newtrust,families_oginterest,2,4,0,3,0,0,0,0,0,0,9
20250113,google / organic,(organic),(not set),(not provided),114,7,2,100,24,2,8,0,0,0,257
20250113,instagram / paid_social,2025_sf_leads_families,newcost,families_oginterest,10,7,7,1,1,2,0,0,0,0,28
20250113,linkedin.com / referral,(referral),(not set),(not set),7,1,1,7,2,0,0,0,0,0,18
20250113,marinij / email,(not set),(not set),(not set),3,3,0,2,0,0,0,0,0,0,8
20250113,medium.com / referral,(referral),(not set),(not set),4,4,0,4,1,0,0,0,0,0,13
20250113,search.google.com / referral,(referral),(not set),(not set),6,3,0,5,2,0,0,0,0,0,16
20250113,yahoo / organic,(organic),(not set),(not provided),2,2,1,1,0,0,0,0,0,0,6

