# ----------------------------------------
# kizunacare.com
# Search Data - Non-Event Metrics-Free form 1
# 20250101-20250209
# ----------------------------------------

Date,Session Google Ads account name,Session Google Ads campaign,Session Google Ads ad group name,Sessions,Engaged sessions
20250102,Kizuna,TS / Search / San Francisco,Companion Care Services,4,3
20250102,Kizuna,TS / Search / San Francisco,Personal Care Services,4,2
20250110,Kizuna,TS / Search / San Francisco,Companion Care Services,4,2
20250115,Kizuna,TS / Search / San Francisco,In-Home Care Services,4,3
20250119,Kizuna,TS / Search / San Francisco,Companion Care Services,4,4
20250122,Kizuna,TS / Search / San Francisco,Respite Care Services,4,3
20250126,Kizuna,TS / Search / San Francisco,Senior Care Services,4,1
20250101,Kizuna,TS / Search / San Francisco,Companion Care Services,3,1
20250104,Kizuna,TS / Search / San Francisco,Personal Care Services,3,3
20250107,Kizuna,TS / Search / San Francisco,Companion Care Services,3,1
20250108,Kizuna,TS / Search / San Francisco,Senior Care Services,3,1
20250114,Kizuna,TS / Search / San Francisco,Companion Care Services,3,2
20250114,Kizuna,TS / Search / San Francisco,In-Home Care Services,3,1
20250117,Kizuna,TS / Search / San Francisco,Respite Care Services,3,2
20250117,Kizuna,TS / Search / San Francisco,Senior Care Services,3,2
20250118,Kizuna,TS / Search / San Francisco,Companion Care Services,3,3
20250118,Kizuna,TS / Search / San Francisco,In-Home Care Services,3,2
20250119,Kizuna,TS / Search / San Francisco,Respite Care Services,3,0
20250120,Kizuna,TS / Search / San Francisco,Senior Care Services,3,2
20250122,Kizuna,TS / Search / San Francisco,Senior Care Services,3,3
20250124,Kizuna,TS / Search / San Francisco,Senior Care Services,3,3
20250127,Kizuna,TS / Search / San Francisco,Senior Care Services,3,2
20250129,Kizuna,TS / Search / San Francisco,Senior Care Services,3,3
20250130,Kizuna,TS / Search / San Francisco,Senior Care Services,3,2
20250103,Kizuna,TS / Search / San Francisco,Respite Care Services,2,2
20250106,Kizuna,TS / Search / San Francisco,Respite Care Services,2,0
20250107,Kizuna,TS / Search / San Francisco,Personal Care Services,2,0
20250109,Kizuna,TS / Search / San Francisco,Companion Care Services,2,2
20250111,Kizuna,TS / Search / San Francisco,In-Home Care Services,2,1
20250112,Kizuna,TS / Search / San Francisco,Respite Care Services,2,2
20250116,Kizuna,TS / Search / San Francisco,Personal Care Services,2,2
20250117,Kizuna,TS / Search / San Francisco,Companion Care Services,2,2
20250118,Kizuna,TS / Search / San Francisco,Respite Care Services,2,1
20250121,Kizuna,TS / Search / San Francisco,Respite Care Services,2,2
20250121,Kizuna,TS / Search / San Francisco,Senior Care Services,2,1
20250123,Kizuna,TS / Search / San Francisco,Senior Care Services,2,1
20250125,Kizuna,TS / Search / San Francisco,Senior Care Services,2,0
20250129,Kizuna,TS / Search / San Francisco,Brand,2,0
20250131,Kizuna,TS / Search / San Francisco,Senior Care Services,2,2
20250201,Kizuna,TS / Search / San Francisco,Senior Care Services,2,2
20250206,Kizuna,TS / Search / San Francisco,Old Keywords,2,2
20250101,Kizuna,TS / Search / San Francisco,Brand,1,1
20250101,Kizuna,TS / Search / San Francisco,Personal Care Services,1,0
20250102,Kizuna,TS / Search / San Francisco,Brand,1,1
20250102,Kizuna,TS / Search / San Francisco,Respite Care Services,1,1
20250103,Kizuna,TS / Search / San Francisco,Personal Care Services,1,1
20250104,Kizuna,TS / Search / San Francisco,Brand,1,1
20250106,Kizuna,TS / Search / San Francisco,Brand,1,1
20250106,Kizuna,TS / Search / San Francisco,Companion Care Services,1,1
20250108,Kizuna,TS / Search / San Francisco,Personal Care Services,1,1
20250110,Kizuna,TS / Search / San Francisco,Personal Care Services,1,1
20250110,Kizuna,TS / Search / San Francisco,Respite Care Services,1,1
20250111,Kizuna,TS / Search / San Francisco,Respite Care Services,1,1
20250111,Kizuna,TS / Search / San Francisco,Senior Care Services,1,1
20250112,Kizuna,TS / Search / San Francisco,Companion Care Services,1,1
20250112,Kizuna,TS / Search / San Francisco,Personal Care Services,1,0
20250112,Kizuna,TS / Search / San Francisco,Senior Care Services,1,1
20250113,Kizuna,TS / Search / San Francisco,Companion Care Services,1,1
20250113,Kizuna,TS / Search / San Francisco,Senior Care Services,1,0
20250115,Kizuna,TS / Search / San Francisco,Personal Care Services,1,1
20250115,Kizuna,TS / Search / San Francisco,Respite Care Services,1,1
20250116,Kizuna,TS / Search / San Francisco,Brand,1,0
20250116,Kizuna,TS / Search / San Francisco,Companion Care Services,1,1
20250117,Kizuna,TS / Search / San Francisco,Brand,1,0
20250117,Kizuna,TS / Search / San Francisco,Personal Care Services,1,0
20250118,Kizuna,TS / Search / San Francisco,Brand,1,1
20250118,Kizuna,TS / Search / San Francisco,Personal Care Services,1,1
20250118,Kizuna,TS / Search / San Francisco,Senior Care Services,1,1
20250119,Kizuna,TS / Search / San Francisco,Brand,1,1
20250119,Kizuna,TS / Search / San Francisco,Personal Care Services,1,0
20250120,Kizuna,TS / Search / San Francisco,Brand,1,1
20250120,Kizuna,TS / Search / San Francisco,Personal Care Services,1,0
20250120,Kizuna,TS / Search / San Francisco,Respite Care Services,1,1
20250122,Kizuna,TS / Search / San Francisco,Companion Care Services,1,1
20250123,Kizuna,TS / Search / San Francisco,Companion Care Services,1,1
20250124,Kizuna,TS / Search / San Francisco,Brand,1,1
20250125,Kizuna,TS / Search / San Francisco,Brand,1,0
20250128,Kizuna,TS / Search / San Francisco,Brand,1,1
20250128,Kizuna,TS / Search / San Francisco,Senior Care Services,1,1
20250205,Kizuna,TS / Search / San Francisco,Senior Care Services,1,0
20250208,Kizuna,TS / Search / San Francisco,Old Keywords,1,1

